Client,Company_Code,Supplier,Supplier_Name,PAN,Country,WTax_Type,WTx,TAN_Exemption,Recipient_Type,Exemption_Number,Exemption_Percentage,Exemption_From,Exemption_To,Exemption_Reason,Exemption_Threshold,Currency
500,1001,DIF00282AA,FM INDIA SUPPLY CHAIN PRIVATE LIMIT,AACCF6938K,IN,CI,C1,,0001,1AG0525DYV,95,2025-05-27,2026-03-31,AL,33877535,INR
500,1081,DIM01158AD,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1079,DIF00108AF,LOGISTEED INDIA PRIVATE LIMITED,AABCF2133M,IN,CI,C1,,0001,1NF0726FMH,50,2026-07-30,2027-03-31,AL,4027553,INR
500,1081,DIF00108AF,LOGISTEED INDIA PRIVATE LIMITED,AABCF2133M,IN,CI,C1,,0001,1NF0726FMJ,50,2026-07-30,2027-03-31,AL,21867716,INR
500,1081,DIS00642AA,STRATEGIC LEARNING SOLUTI,AADCS9706K,IN,JI,J1,,0001,1AD0426CLG,84,2026-04-15,2027-03-31,AL,17000000,INR
500,1001,DIS00642AA,STRATEGIC LEARNING SOLUTI,AADCS9706K,IN,JI,J1,,0001,1AD0426CLH,84,2026-04-15,2027-03-31,AL,70000000,INR
500,1001,DIH00156AA,HERO MINDMINE INSTITUTE,AABCH8741B,IN,JI,J1,,0001,1NA0626TBA,75,2026-06-12,2027-03-31,AL,10000000,INR
500,1001,DIC00240AA,CRAYON SOFTWARE EXPERTS INDIA,AAFCC6808E,IN,JI,J1,,0001,1NA0926MEW,63.5,2026-09-04,2027-03-31,AL,117350000,INR
500,1081,DIM01158AJ,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1079,DIF00108AA,FLYJAC LOGISTICS PRIVATE,AABCF2133M,IN,CI,C1,,0001,1NF0726FMH,50,2026-07-30,2027-03-31,AL,4027553,INR
