Company_Code,Vendor_Number,Clearing_Date,Clearing_Document_Number,Assignment_Number,Fiscal_Year,Accounting_Document_Number,Line_Item_Number,Posting_Date,Document_Date,Currency_Key,Reference_Document_Number,Document_Type,Debit_Credit_Indicator,Amount_Local_Currency,Amount_Document_Currency,Line_Item_Text,GL_Account,special_gl_transaction_type,special_gl_indicator,Baseline_Date_For_Payment,Payment_Terms,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,withholding_tax_type,withholding_tax_code,tax_base_percentage,tds_rate,tds_description,Classification,Document_Status,TDS_InitialObservation,Potential_Missed_TDS_Flag,Initial_Observation,Clearing_Group_ID,TDS_CASE_ID
1001,DIA00483AA,2025-11-06,2610430328,,2026,2610430328,001,2025-11-06,2025-11-06,INR,,KZ,S,4199782.48,4199782.48,,0016060005,,,2025-11-06,,3620502.94,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610430328,28cff38abdee9410e7a2a15aff00099aee9f29e6a86fab3cd9ba448ac89fbbc7
1001,DIA00483AA,2025-11-10,2610439808,,2026,2610439808,001,2025-11-10,2025-11-10,INR,,KZ,S,8826,8826,,0016060005,,,2025-11-10,,7609.2,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610439808,cc0daf9a33ff467f69cf23eb055f775ff5df61e67eb4018d997ff586ac4e161b
1001,DIA00483AA,2025-11-11,2610440888,,2026,2610440888,001,2025-11-11,2025-11-11,INR,,KZ,S,3810492.44,3810492.44,,0016060005,,,2025-11-11,,3284909.46,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610440888,7aa555dadfa28072226a2f62975cd723470bd664f8e527a01e30c775fba490ce
1001,DIA00483AA,2025-11-12,2610442884,,2026,2610442884,001,2025-11-12,2025-11-12,INR,,KZ,S,25520,25520,,0016060005,,,2025-11-12,,22000,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610442884,e1f4aafd1680ee8d561ec11a08b892a4c3f23592eb584fba2beaa0b313d8730c
1001,DIA00483AA,2025-12-02,2610472990,,2026,2610472990,001,2025-12-02,2025-12-02,INR,,KZ,S,760679.62,760679.62,,0016060005,,,2025-12-02,,655759,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610472990,a506d3ce4aeeeb6a2ea684b931bcc440584a53024f2a7e40a88ed96566d74da0
1001,DIA00483AA,2025-12-12,2610487526,,2026,2610487526,001,2025-12-12,2025-12-12,INR,,KZ,S,5643363.52,5643363.52,,0016060005,,,2025-12-12,,4864970.56,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610487526,7380e4d2ad5e80194fdca5c5c1ace62c972086df9efc4dc16c59df8f2b38680b
1001,DIA00483AA,2025-12-30,2610513277,,2026,2610513277,001,2025-12-30,2025-12-30,INR,,KZ,S,5325227,5325227,,0016060005,,,2025-12-30,,4590714.58,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610513277,eab6a562cf7efe9cfbe0e2783488f3b8f100e76d2a2c54346bf1e8eabcf25043
1001,DIA00483AA,2026-02-03,2610564208,,2026,2610564208,001,2026-02-03,2026-02-03,INR,,KZ,S,5823229.38,5823229.38,,0016060005,,,2026-02-03,,5020026.34,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610564208,bd3bf9c8cbea7db6117efd5ecd2e169499884f18a461e7ce4af65ee488f61666
1001,DIA00483AA,2026-03-20,2610630396,,2026,2610630396,001,2026-03-20,2026-03-20,INR,,KZ,S,140598.6,140598.6,,0016060005,,,2026-03-20,,121209.44,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610630396,d0583652b8bcd1b56a41c0f24fdfddde96bdb17886f2cbb9be8e3db0f1a7869c
1001,DIA00483AA,2026-03-27,2610641826,,2026,2610641826,001,2026-03-27,2026-03-27,INR,,KZ,S,918116,918116,,0016060005,,,2026-03-27,,791480.24,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610641826,d1c6391210f457b15bd64086e277a87b540c78d1c4a8d16ef597b4940236b4da
1001,DIA00483AA,2025-06-27,2610233729,,2026,3183429895,001,2025-06-26,2025-05-14,INR,GST-25-26/000301,RE,H,-894329.32,-894329.32,CLMS-APR-25,0016060005,,,2025-06-26,C005,770974,15420,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610233729,42e55511ffb6e8409f5a3067e701935c7cd60a2a831df9fb17a5f5af3936d2d3
1001,DIA00483AA,2025-06-27,2610233729,,2026,3183430082,001,2025-06-26,2025-05-14,INR,GST-25-26/000288,RE,H,-54338.92,-54338.92,CLMS-APR-25,0016060005,,,2025-06-26,C005,46844,937,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610233729,4caafcb274ca3db370d53d43e9ffcce2aecd05668c51b6efe56088722b1e9dd2
1001,DIA00483AA,2025-06-27,2610233729,,2026,3183430086,001,2025-06-26,2025-05-14,INR,GST-25-26/000304,RE,H,-162413.16,-162413.16,CLMS-APR-25,0016060005,,,2025-06-26,C005,140012,2801,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610233729,96e0c2829d3d41257b2160678199c2838bb96dec91ba1bf6f971f61367ac0863
1001,DIA00483AA,2025-06-27,2610233729,,2026,3183430091,001,2025-06-26,2025-05-14,INR,GST-25-26/000294,RE,H,-53940,-53940,CLMS-APR-25,0016060005,,,2025-06-26,C005,46500,930,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610233729,486812769a16694d5491f1e04b9217de10c7909e593f99a39bf6ff5ff2b75616
1001,DIA00483AA,2025-06-30,2610240055,,2026,3183469437,001,2025-06-27,2025-05-15,INR,GST-25-26/000309,RE,H,-25520,-25520,Machine Rental -APR-25,0016060005,,,2025-06-27,C005,22000,440,II,I2,100,2,Plt/Mach/Eqpt Cos-2%-N/S-393(1)2(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610240055,8bad252e7e315dc35a315ae10779307e890951dc5ce8e356f1b48637672a26d5
1001,DIA00483AA,2025-07-22,2610274616,,2026,3184150273,001,2025-07-21,2025-06-12,INR,GST-25-26/000520,RE,H,-201740,-201740,Leave Encashment-Dec-24,0016060005,,,2025-07-21,C005,173914.3,3479,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610274616,4d7dda8e518657bcdd6020f727ad30764a343999cfc599d11b6e008a4697834a
1001,DIA00483AA,2025-07-22,2610274616,,2026,3184150762,001,2025-07-21,2025-06-12,INR,GST-25-26/000519,RE,H,-2083605.16,-2083605.16,Leave Encashment-Dec-24,0016060005,,,2025-07-21,C005,1796212,35925,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610274616,df1cd1e5a5394b51e5e9a3273060c8bbc288de8ecca4a9384d5b5e3f7165a25d
1001,DIA00483AA,2025-07-22,2610274616,,2026,3184150857,001,2025-07-21,2025-06-12,INR,GST-25-26/000519,RE,H,-12169.84,-12169.84,Leave Encashment-Dec-24,0016060005,,,2025-07-21,C005,10491.28,210,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610274616,788594b4ae03f20339c8d1234a1f16d4d6f02636536fafbaf0579e64a98784b6
1001,DIA00483AA,2025-07-29,2610283095,,2026,3184380188,001,2025-07-28,2025-06-27,INR,GST-25-26/000556,RE,H,-25520,-25520,Machine rental -May-25,0016060005,,,2025-07-28,C005,22000,440,II,I2,100,2,Plt/Mach/Eqpt Cos-2%-N/S-393(1)2(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610283095,d738c0d69d3febeda5d653f86ab68014c77c893c484d59976687d7f7bd1a95b5
1001,DIA00483AA,2025-07-29,2610283095,,2026,3184380193,001,2025-07-28,2025-07-10,INR,GST-25-26/000750,RE,H,-25520,-25520,Machine rental -Jun-25,0016060005,,,2025-07-28,C005,22000,440,II,I2,100,2,Plt/Mach/Eqpt Cos-2%-N/S-393(1)2(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610283095,dea1a7454c83977f4174d61953209a8c216f010587912121f9fd45c9450140bd
1001,DIA00483AA,2025-08-12,2610307441,,2026,3184864892,001,2025-08-12,2025-07-10,INR,GST-25-26/000739,RE,H,-901569.88,-901569.88,CLMS-JUNE-25,0016060005,,,2025-08-12,C005,777216,15545,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610307441,a9b64ddaafd37f223fa52b4153042a1d319f7fcf8ba403d0138438d5f7a914ff
1001,DIA00483AA,2025-08-12,2610307441,,2026,3184864902,001,2025-08-12,2025-07-10,INR,GST-25-26/000740,RE,H,-140070,-140070,CLMS-JUNE-25,0016060005,,,2025-08-12,C005,120750,2415,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610307441,dee0db3ad029a8b26af2fc8d63e45bb8adfd747f905c8acb05ec1a83c64e824d
1001,DIA00483AA,2025-08-12,2610307441,,2026,3184864907,001,2025-08-12,2025-07-10,INR,GST-25-26/000741,RE,H,-223109.48,-223109.48,CLMS-JUNE-25,0016060005,,,2025-08-12,C005,192336,3847,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610307441,8ff3b4d4aecfd094266ddc78e10b2c381b4b88e5e4788239c820b0f54453b488
1001,DIA00483AA,2025-09-16,2610357339,,2026,3185983013,001,2025-09-16,2025-08-11,INR,GST-25-26/000975,RE,H,-727321.36,-727321.36,CLMS-JULY-25,0016060005,,,2025-09-16,C005,627002,12541,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610357339,109d7147993766d94fefeb38bfe3019846b09d10edec30a8516c7fd39325de33
1001,DIA00483AA,2025-09-16,2610357339,,2026,3185983015,001,2025-09-16,2025-08-11,INR,GST-25-26/000976,RE,H,-119351.02,-119351.02,CLMS-JULY-25,0016060005,,,2025-09-16,C005,102889,2058,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610357339,2baf2a79996f2de1ca340080bcde611c14f9853dd4d2053200d9aa9c70d47728
1001,DIA00483AA,2025-09-16,2610357339,,2026,3185983036,001,2025-09-16,2025-08-11,INR,GST-25-26/000977,RE,H,-2571711,-2571711,CLMS-JULY-25,0016060005,,,2025-09-16,C005,2216992.26,44340,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610357339,039b8c9b0d9e8b96b08e8701f12fb55d4bb9820307d12a9392b7d6eb9d918654
1001,DIA00483AA,2025-09-16,2610357339,,2026,3185983038,001,2025-09-16,2025-08-11,INR,GST-25-26/000977,RE,H,-322048,-322048,CLMS-JULY-25,0016060005,,,2025-09-16,C005,277627.96,5553,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610357339,c3f0fb7534a641ac8bc4c804716be12223f6e00a6d8347e6e2230fa49c1a33e2
1001,DIA00483AA,2025-09-16,2610357339,,2026,3185983047,001,2025-09-16,2025-08-11,INR,GST-25-26/000980,RE,H,-425159,-425159,CLMS-JULY-25,0016060005,,,2025-09-16,C005,366516.94,7331,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610357339,61b5ad539600dff6b69cc0344c3fac923ef562fbc85b19c64b0c9a44c95d927f
1001,DIA00483AA,2025-10-10,2610396118,,2026,3187196113,001,2025-10-10,2025-06-12,INR,GST-25-26/000516,RE,H,-109475,-109475,OT - MAY-25,0016060005,,,2025-10-10,C005,94375.32,1888,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610396118,6ec28b509885f2e94ccba6e6c27b3676f01bdec62ef9984eab1938eb1c1b6901
1001,DIA00483AA,2025-10-10,2610396118,,2026,3187196121,001,2025-10-10,2025-06-12,INR,GST-25-26/000516,RE,H,-96146,-96146,OT - MAY-25,0016060005,,,2025-10-10,C005,82884.7,1658,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610396118,955998335185a6abc60cebd210b9281f6bafda81fe516447bbad48060b7669b6
1001,DIA00483AA,2025-10-10,2610396118,,2026,3187196134,001,2025-10-10,2025-07-10,INR,GST-25-26/000744,RE,H,-127405,-127405,OT - JUN-25,0016060005,,,2025-10-10,C005,109832.06,2197,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610396118,a51d6c48247ea6ce99f752a68a05a23a74e5860f4bf39820b5c5c07cc3146512
1001,DIA00483AA,2025-10-10,2610396118,,2026,3187196137,001,2025-10-10,2025-07-10,INR,GST-25-26/000744,RE,H,-25085,-25085,OT - JUN-25,0016060005,,,2025-10-10,C005,21625.32,433,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610396118,74721f86d8f20d69d747020c4c4b38a82b4bde8821eea46e083d28d86da8c302
1001,DIA00483AA,2025-10-10,2610396118,,2026,3187196147,001,2025-10-10,2025-05-14,INR,GST-25-26/000307,RE,H,-18784,-18784,OT - APR-25,0016060005,,,2025-10-10,C005,16193.08,324,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610396118,d439913bb7f1a804a822a52e98f55629c756e2915c3068fcbec7e4a0e8edf22c
1001,DIA00483AA,2025-10-14,2610398836,,2026,3187326472,001,2025-10-14,2025-05-14,INR,GST-25-26/000305,RE,H,-81462,-81462,OT - APR-25,0016060005,,,2025-10-14,C005,70226.32,1405,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610398836,06001ed47e8b6688c57cc96d062c1c306d7e5f01d33033741f64ec62d2a78876
1001,DIA00483AA,2025-10-16,2610401598,,2026,3187405993,001,2025-10-16,2025-08-11,INR,GST-25-26/000982,RE,H,-25520,-25520,Machine Rent-july-25,0016060005,,,2025-10-16,C005,22000,440,II,I2,100,2,Plt/Mach/Eqpt Cos-2%-N/S-393(1)2(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610401598,f5355d2889a87706cc5c5f58c3ad59eca92f26a8f4d231f79824e99eb5d36f20
1001,DIA00483AA,2025-10-17,2610405263,,2026,3187451612,001,2025-10-17,2025-09-09,INR,GST-25-26/001200,RE,H,-444445,-444445,CLMS-AUG-25,0016060005,,,2025-10-17,C005,383142.08,7663,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610405263,3a6d23cea3f6529581f001f82a1bbb925c57c7aca50f6706a3cf564a8a951427
1001,DIA00483AA,2025-10-17,2610405263,,2026,3187451641,001,2025-10-17,2025-09-09,INR,GST-25-26/001198,RE,H,-2644578,-2644578,CLMS-AUG-25,0016060005,,,2025-10-17,C005,2279809.2,45597,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610405263,9d8c39c60947ac2b9aaba02c4e87229e8e7662d1551b2076b001b5ad4e699c0f
1001,DIA00483AA,2025-10-17,2610405263,,2026,3187451648,001,2025-10-17,2025-09-09,INR,GST-25-26/001198,RE,H,-384917,-384917,CLMS-AUG-25,0016060005,,,2025-10-17,C005,331825.32,6637,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610405263,fe89edf58c1b614346a8b6954de05b182a9454e7c8255aa9beb34265adbbea46
1001,DIA00483AA,2025-10-17,2610405263,,2026,3187451700,001,2025-10-17,2025-09-09,INR,GST-25-26/001196,RE,H,-108985.72,-108985.72,CLMS-AUG-25,0016060005,,,2025-10-17,C005,93954,1880,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610405263,9b078b18fc75ccf0a27226b3147b791f8dd6b877efba140d48597be27988bc6d
1001,DIA00483AA,2025-10-17,2610405263,,2026,3187451795,001,2025-10-17,2025-07-10,INR,GST-25-26/000749,RE,H,-8008,-8008,OT - JUN-25,0016060005,,,2025-10-17,C005,6904.1,139,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610405263,32a8b3bccd891bc03e9b27bef11e7d14990071bc7fb245a31488f51ae4ae54fb
1001,DIA00483AA,2025-11-06,2610430328,,2026,3188010973,001,2025-11-06,2025-10-10,INR,GST-25-26/001488,RE,H,-3818971,-3818971,Bonus Bill April -24 TO Mar-25,0016060005,,,2025-11-06,C005,3292216.94,65845,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610430328,e79306c97bc96856314f9b73e4f5e40e554cf7e2c2501239b79506654edc5d83
1001,DIA00483AA,2025-11-06,2610430328,,2026,3188010982,001,2025-11-06,2025-10-10,INR,GST-25-26/001489,RE,H,-380811.48,-380811.48,Bonus Bill April -24 TO Mar-25,0016060005,,,2025-11-06,C005,328286,6566,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610430328,7802459cc20cfe5e4b3d2926b459485896cd4f200ff3541f067b8315f4384563
1001,DIA00483AA,2025-11-10,2610439808,,2026,3188141723,001,2025-11-10,2025-06-12,INR,GST-25-26/000517,RE,H,-3828,-3828,ODD-MAY-25,0016060005,,,2025-11-10,C005,3300,66,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610439808,90a1c3cd29a07a8661409b097548c0e040f651d1334891ca6534fdd0b42caa38
1001,DIA00483AA,2025-11-10,2610439808,,2026,3188141738,001,2025-11-10,2025-07-10,INR,GST-25-26/000745,RE,H,-4998,-4998,ODD-JUN-25,0016060005,,,2025-11-10,C005,4309.2,87,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610439808,1a88686a03f45f4900650640506fddb7bf8596a953df0aab6d0f1888f376ac0d
1001,DIA00483AA,2025-11-11,2610440888,,2026,3188175697,001,2025-11-11,2025-10-10,INR,GST-25-26/001481,RE,H,-74792.86,-74792.86,CLMS-SEPT-25,0016060005,,,2025-11-11,C005,64477,1290,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610440888,6024c40b44b145c19225f53b83369722de8ff330bf0fdef4042a941b72c09b2f
1001,DIA00483AA,2025-11-11,2610440888,,2026,3188175730,001,2025-11-11,2025-10-10,INR,GST-25-26/001482,RE,H,-2868100,-2868100,CLMS-SEPT-25,0016060005,,,2025-11-11,C005,2472500.82,49451,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610440888,051e0447cbad32145f46595d09da5f68dcedd0db6c8a4067a24d65dfc4a6be12
1001,DIA00483AA,2025-11-11,2610440888,,2026,3188175737,001,2025-11-11,2025-10-10,INR,GST-25-26/001482,RE,H,-393182,-393182,CLMS-SEPT-25,0016060005,,,2025-11-11,C005,338950.82,6780,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610440888,2c55eeec40cb263ca51f20a0aa46265cfb6779800b08d5f70d090c5852b53265
1001,DIA00483AA,2025-11-11,2610440888,,2026,3188175746,001,2025-11-11,2025-10-10,INR,GST-25-26/001483,RE,H,-474417.58,-474417.58,CLMS-SEPT-25,0016060005,,,2025-11-11,C005,408980.82,8180,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610440888,9c0e22176e59e54dd3dddd855ec418d1f3be1daa03635a4423bf5e1bb3299eef
1001,DIA00483AA,2025-11-12,2610442884,,2026,3188216724,001,2025-11-12,2025-10-10,INR,GST-25-26/001486,RE,H,-25520,-25520,Machine Rent-Aug-25,0016060005,,,2025-11-12,C005,22000,440,II,I2,100,2,Plt/Mach/Eqpt Cos-2%-N/S-393(1)2(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610442884,d8af34bb1e1e367cbb763ac8406f0916a09e6604fee41bc54e2067a3f79ab3bb
1001,DIA00483AA,2025-12-02,2610472990,,2026,3188865747,001,2025-11-29,2025-09-09,INR,GST-25-26/001195,RE,H,-760679.62,-760679.62,CLMS-AUG-25,0016060005,,,2025-11-29,C005,655759,13116,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610472990,c11343248297a007a710b62d73c001f8f3f2aaae705916115b64d73e5e335be3
1001,DIA00483AA,2025-12-12,2610487526,,2026,3189187963,001,2025-12-09,2025-11-10,INR,GST-25-26/001755,RE,H,-669294.04,-669294.04,CLMS-OCT-25,0016060005,,,2025-12-09,C005,576978,11540,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610487526,ce93f09e66840a55ec6f404a6d12076d4b785a8b84d57d447ea00ac809420fd2
1001,DIA00483AA,2025-12-12,2610487526,,2026,3189187970,001,2025-12-09,2025-11-10,INR,GST-25-26/001754,RE,H,-945325.48,-945325.48,CLMS-OCT-25,0016060005,,,2025-12-09,C005,814936,16299,CI,C1,100,2,Cont. Cos - 2%-New Sec-393(1)6(i),INVOICE,CLEARED,TDS_EXISTS,N,TDS exists on invoice,1001|2026|2610487526,281a272c763ab89abbedde2d8baeaa5f4dd1bab19bfacf207b9e73c40f7e29b3
1001,DIA00483AA,2025-12-12,2610487526,,2026,3189187983,001,2025-12-09,2025-11-10,INR,GST-25-26/001759,RE,H,-492776,-492776,CLMS-OCT-25,0016060005,,,2025-12-09,C005,424807.56,8497,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610487526,bbdfbda55a8bc0c958aec7776280a96aee434a523c70af4e2739da917eb26ea2
1001,DIA00483AA,2025-12-12,2610487526,,2026,3189188000,001,2025-12-09,2025-11-10,INR,GST-25-26/001756,RE,H,-3163549,-3163549,CLMS-OCT-25,0016060005,,,2025-12-09,C005,2727197.36,54544,,,,,,INVOICE,CLEARED,NO_TDS_FOUND,Y,Potential missed TDS candidate,1001|2026|2610487526,30738cad75271b0a15dd6d10e6e7cb399b911fd64cd08c240d1f570a92049b47
