Company_Code,Vendor_Number,Clearing_Date,Clearing_Document_Number,Assignment_Number,Fiscal_Year,Accounting_Document_Number,Line_Item_Number,Posting_Date,Document_Date,Currency_Key,Reference_Document_Number,Document_Type,Debit_Credit_Indicator,Amount_Local_Currency,Amount_Document_Currency,Line_Item_Text,GL_Account,special_gl_transaction_type,special_gl_indicator,Baseline_Date_For_Payment,Payment_Terms,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,withholding_tax_type,withholding_tax_code,tax_base_percentage,tds_rate,tds_description,Classification,Document_Status,TDS_InitialObservation,Potential_Missed_TDS_Flag,Initial_Observation,Clearing_Group_ID,TDS_CASE_ID
1001,DIA00483AA,2025-06-27,2610233729,,2026,2610233729,001,2025-06-27,2025-06-27,INR,,KZ,S,1165021.4,1165021.4,,0016060005,,,2025-06-27,,1004330,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610233729,bceba04a415788ca8cb02474471950b639b48a044865327842b2b561179eb50e
1001,DIA00483AA,2025-06-30,2610240055,,2026,2610240055,001,2025-06-30,2025-06-30,INR,,KZ,S,25520,25520,,0016060005,,,2025-06-30,,22000,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610240055,300f0921000502b218f734360da581f06ef675fb33f29650d30abedc3055b1b7
1001,DIA00483AA,2025-07-22,2610274616,,2026,2610274616,001,2025-07-22,2025-07-22,INR,,KZ,S,2297515,2297515,,0016060005,,,2025-07-22,,1980617.58,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610274616,39bd445ed4d8aade237d478df96e22e717b8ec76473e583a7b2698da4d5f5064
1001,DIA00483AA,2025-07-29,2610283095,,2026,2610283095,001,2025-07-29,2025-07-29,INR,,KZ,S,51040,51040,,0016060005,,,2025-07-29,,44000,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610283095,6f931270cc7c0aaf2ecbbbc19a36229c5f08f4091a22e18d120cc092f47768d0
1001,DIA00483AA,2025-08-12,2610307441,,2026,2610307441,001,2025-08-12,2025-08-12,INR,,KZ,S,1264749.36,1264749.36,,0016060005,,,2025-08-12,,1090302,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610307441,9f8947bcc0cbc5abf9a5c960d7f4eff4b7c407384337de9075098108f125cc42
1001,DIA00483AA,2025-09-16,2610357339,,2026,2610357339,001,2025-09-16,2025-09-16,INR,,KZ,S,4165590.38,4165590.38,,0016060005,,,2025-09-16,,3591028.16,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610357339,b4349458203a9d9de5b6a79607a724e46b7f61f1b517a3a445e2bd8de4a7a995
1001,DIA00483AA,2025-10-10,2610396118,,2026,2610396118,001,2025-10-10,2025-10-10,INR,,KZ,S,376895,376895,,0016060005,,,2025-10-10,,324910.48,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610396118,bfc5dc56aaba7fcc6d4e66b782653927bfc77f145c6034872ab63b747725a690
1001,DIA00483AA,2025-10-14,2610398836,,2026,2610398836,001,2025-10-14,2025-10-14,INR,,KZ,S,81462,81462,,0016060005,,,2025-10-14,,70226.32,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610398836,1a51f2a4c1602957fa236a60c3b52ef6ff0586845fbd69958ae7805540ae2049
1001,DIA00483AA,2025-10-16,2610401598,,2026,2610401598,001,2025-10-16,2025-10-16,INR,,KZ,S,25520,25520,,0016060005,,,2025-10-16,,22000,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610401598,6a46f91ba351a64baea0df1fee1ac027be1c6fd415a1c6257b89409cb697c6fb
1001,DIA00483AA,2025-10-17,2610405263,,2026,2610405263,001,2025-10-17,2025-10-17,INR,,KZ,S,3590933.72,3590933.72,,0016060005,,,2025-10-17,,3095634.7,0,,,,,,PAYMENT,CLEARED,NO_TDS_FOUND,N,Review Required,1001|2026|2610405263,a414f3aa5e991ddce24317c20b184bf0b129ffd3b336a74f48e848590e399d7d
